datum,bodovi,link
"Vrijeme početka: četvrtak, 7. listopada 2021. u 20,45","1. set: 16:25
     2. set: 10:25
     3. set: 18:25
     ukupno: 44:75",OK ZADAR – HAOK MLADOST
"Vrijeme početka: četvrtak, 17. veljače 2022. u 18,00","1. set: 25:14
     2. set: 25:17
     3. set: 25:15
     ukupno: 75:46",HAOK MLADOST – OK ZADAR
"Vrijeme početka: subota, 23. travnja 2022. u 18,00","1. set: 25:19
     2. set: 25:12
     3. set: 25:18
     ukupno: 75:49",HAOK MLADOST – OK RIBOLA KAŠTELA
"Vrijeme početka: subota, 11. prosinca 2021. u 17,00","1. set: 25:15
     2. set: 25:15
     3. set: 25:16
     ukupno: 75:46",HAOK MLADOST – OK SISAK
"Vrijeme početka: subota, 4. prosinca 2021. u 15,00","1. set: 23:25
     2. set: 22:25
     3. set: 22:25
     ukupno: 67:75",OK GORICA – OK ZADAR
"Vrijeme početka: subota, 5. ožujka 2022. u 19,00","1. set: 25:23
     2. set: 24:26
     3. set: 21:25
     4. set: 21:25
     ukupno: 91:99",OK ZADAR – MOK RIJEKA
"Vrijeme početka: subota, 19. veljače 2022. u 17,00","1. set: 25:18
     2. set: 25:12
     3. set: 25:13
     ukupno: 75:43",MOK MURSA - OSIJEK – MOK MARSONIA
"Vrijeme početka: nedjelja, 10. listopada 2021. u 14,30","1. set: 14:25
     2. set: 19:25
     3. set: 25:27
     ukupno: 58:77",OK ZADAR – OK ROVINJ
"Vrijeme početka: subota, 26. veljače 2022. u 18,00","1. set: 7:25
     2. set: 17:25
     3. set: 19:25
     ukupno: 43:75",OK GORICA – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 26. ožujka 2022. u 19,00","1. set: 19:25
     2. set: 22:25
     3. set: 16:25
     ukupno: 57:75",OKM CENTROMETAL – MOK MURSA - OSIJEK
"Vrijeme početka: subota, 16. listopada 2021. u 17,00","1. set: 25:19
     2. set: 25:21
     3. set: 25:11
     ukupno: 75:51",HAOK MLADOST – OK RIBOLA KAŠTELA
"Vrijeme početka: srijeda, 23. ožujka 2022. u 17,00","1. set: 23:25
     2. set: 25:20
     3. set: 25:14
     4. set: 25:15
     ukupno: 98:74",HAOK MLADOST – OK KITRO VARAŽDIN
"Vrijeme početka: srijeda, 3. studenog 2021. u 19,00","1. set: 25:18
     2. set: 25:16
     3. set: 25:19
     ukupno: 75:53",HAOK MLADOST – OKM CENTROMETAL
"Vrijeme početka: nedjelja, 27. veljače 2022. u 14,00","1. set: 25:23
     2. set: 17:25
     3. set: 25:13
     4. set: 25:20
     ukupno: 92:81",MOK RIJEKA – OK SISAK
"Vrijeme početka: nedjelja, 17. listopada 2021. u 15,00","1. set: 15:25
     2. set: 15:25
     3. set: 10:25
     ukupno: 40:75",OK ROVINJ – MOK MURSA - OSIJEK
"Vrijeme pocetka: nedjelja, 6. ožujka 2022. u 17,00","1. set: 25:0
     2. set: 25:0
     3. set: 25:0
     ukupno: 75:0",OKM CENTROMETAL – OK ROVINJ
"Vrijeme početka: utorak, 29. ožujka 2022. u 18,30","1. set: 16:25
     2. set: 12:25
     3. set: 13:25
     ukupno: 41:75",MOK RIJEKA – HAOK MLADOST
"Vrijeme početka: subota, 12. ožujka 2022. u 14,30","1. set: 14:25
     2. set: 19:25
     3. set: 26:24
     4. set: 16:25
     ukupno: 75:99",OK GORICA – OKM CENTROMETAL
"Vrijeme početka: subota, 22. siječnja 2022. u 16,00","1. set: 15:25
     2. set: 12:25
     3. set: 19:25
     ukupno: 46:75",OK ZADAR – MOK MURSA - OSIJEK
"Vrijeme početka: utorak, 29. ožujka 2022. u 20,00","1. set: 16:25
     2. set: 19:25
     3. set: 24:26
     ukupno: 59:76",OK ZADAR – OKM CENTROMETAL
"Vrijeme početka: subota, 5. veljače 2022. u 17,00","1. set: 23:25
     2. set: 25:17
     3. set: 21:25
     4. set: 20:25
     ukupno: 89:92",OK ZADAR – MOK MARSONIA
"Vrijeme početka: subota, 19. veljače 2022. u 18,00","1. set: 19:25
     2. set: 19:25
     3. set: 19:25
     ukupno: 57:75",OK ROVINJ – OK KITRO VARAŽDIN
"Vrijeme početka: srijeda, 13. travnja 2022. u 17,00","1. set: 25:13
     2. set: 25:13
     3. set: 25:16
     ukupno: 75:42",HAOK MLADOST – OK KITRO VARAŽDIN
