datum,domacin,gost,rezultat,brOsSetDomacin,brOsSetGost,osBodDomacin,osBodGost,proRazBodUSet,pobjednik,pobjednikDomacinIliGost,omjProPobj,proPobjDomacinNadGost,brDaOdZadDomacin,brDaOdZadGost,omjSvukOsSet,omjSvukOsSetDomacinProtGost,omjSvukIzgSet,omjSvukIzgSetDomacinProtGost,omjSvukOsBod,omjSvukOsBodDomacinProtGost,omjSvukIzgBod,omjSvukIzgBodDomacinProtGost
2020-02-08,MOK MURSA - OSIJEK,OK ZADAR, 3-0,3,0,75,55,6.666666666666667,MOK MURSA - OSIJEK,0,5.0,0.0,7,7,2.3666666666666667,0.2222222222222222,0.5949367088607594,4.5,1.2370259481037924,0.7176470588235294,1.2370259481037924,1.3934426229508197
2020-02-08,MOK RIJEKA,OK KITRO VARAŽDIN, 3-1,3,1,90,77,3.25,MOK RIJEKA,0,1.8333333333333333,0.6666666666666666,7,7,1.3396226415094339,3.0,0.6,0.3333333333333333,1.0209401709401709,1.3059360730593608,1.0209401709401709,0.7657342657342657
2020-02-08,OK SPLIT,MOK MARSONIA, 2-1,2,1,75,35,13.333333333333334,OK SPLIT,0,1.6666666666666667,0.3333333333333333,7,7,1.3488372093023255,0.7142857142857143,0.7391304347826086,1.4,0.9008230452674897,0.9290780141843972,0.9008230452674897,1.0763358778625953
2020-02-08,OK MEDICINAR TRNJE,OK ROVINJ, 3-1,3,1,95,73,5.5,OK MEDICINAR TRNJE,0,2.1999999999999997,0.6666666666666666,7,7,1.5806451612903225,4.5,0.7466666666666667,0.2222222222222222,1.1611422743498214,1.4887640449438202,1.1611422743498214,0.6716981132075471
2020-02-15,OK SISAK,MOK RIJEKA, 0-3,0,3,49,75,-8.666666666666666,MOK RIJEKA,1,0.6296851574212894,1.0,7,7,0.7432432432432432,4.5,1.5945945945945945,0.2222222222222222,1.064138765631303,1.0928270042194093,1.064138765631303,0.915057915057915
2020-02-15,OK ZADAR,OKM CENTROMETAL, 0-3,0,3,54,75,-7.0,OKM CENTROMETAL,1,0.38666666666666666,0.3333333333333333,7,7,0.6382978723404256,0.2222222222222222,1.28125,4.5,0.8349553933495539,0.7330677290836654,0.8349553933495539,1.3641304347826086
2020-02-15,OK ROVINJ,OK SPLIT, 1-3,1,3,79,96,-4.25,OK SPLIT,1,0.3232758620689655,0.3333333333333333,7,7,0.5333333333333333,0.2222222222222222,1.5,4.5,0.8984098939929329,0.9018867924528302,0.8984098939929329,1.108786610878661
2020-02-15,MOK MARSONIA,MOK MURSA - OSIJEK, 0-3,0,3,53,75,-7.333333333333333,MOK MURSA - OSIJEK,1,0.4285714285714286,0.25,7,7,0.5945945945945946,0.16666666666666666,1.5106382978723405,6.0,0.9651527016444792,0.8443804034582133,0.9651527016444792,1.1843003412969284
2020-02-16,OK KITRO VARAŽDIN,OK MEDICINAR TRNJE, 3-1,3,1,99,87,3.0,OK KITRO VARAŽDIN ,0,0.9666666666666668,0.3333333333333333,8,8,1.0384615384615385,0.8333333333333334,1.105263157894737,1.2,1.0189713322091063,0.885593220338983,1.0189713322091063,1.1291866028708133
2020-02-19,OKM CENTROMETAL,MOK MURSA - OSIJEK, 0-3,0,3,57,75,-6.0,MOK MURSA - OSIJEK,1,0.5166666666666666,0.5,4,4,0.6493506493506493,0.6363636363636364,1.3617021276595744,1.5714285714285714,0.9665271966527197,0.8520408163265306,0.9665271966527197,1.1736526946107784
2020-02-19,OK SPLIT,MOK RIJEKA, 3-1,3,1,98,80,4.5,OK SPLIT,0,0.7083333333333333,0.0,4,4,0.8181818181818182,0.5555555555555556,1.4324324324324325,1.8,0.9240407204385278,0.8288288288288288,0.9240407204385278,1.2065217391304348
2020-02-22,MOK MURSA - OSIJEK,OK ROVINJ, 3-0,3,0,75,60,5.0,MOK MURSA - OSIJEK,0,4.3125,0.0,3,7,2.4242424242424243,0.3333333333333333,0.5802469135802469,3.0,1.2796971131093233,0.867595818815331,1.2796971131093233,1.1526104417670682
2020-02-22,OKM CENTROMETAL,MOK MARSONIA, 3-0,3,0,75,51,8.0,OKM CENTROMETAL,0,1.222222222222222,0.3333333333333333,3,7,1.1363636363636365,0.625,0.9054054054054054,1.6,1.0317712470214455,0.7664473684210527,1.0317712470214455,1.3047210300429184
2020-02-22,OK SPLIT,OK MEDICINAR TRNJE, 3-0,3,0,78,71,2.333333333333333,OK SPLIT,0,1.40625,0.0,3,6,1.2452830188679245,0.2222222222222222,0.9,4.5,0.9995933306222041,0.8113207547169812,0.9995933306222041,1.2325581395348837
2020-02-22,MOK RIJEKA,OK ZADAR, 3-0,3,0,75,62,4.333333333333333,MOK RIJEKA,0,5.8125,0.0,3,7,2.6,0.16666666666666666,0.47058823529411764,6.0,1.2465688594415523,0.7253086419753086,1.2465688594415523,1.3787234042553191
2020-02-22,OK SISAK,OK KITRO VARAŽDIN, 0-3,0,3,54,75,-7.0,OK KITRO VARAŽDIN,1,1.1128205128205129,0.6666666666666666,7,6,0.9649122807017544,1.6,0.96875,0.625,1.0679650238473768,1.1068702290076335,1.0679650238473768,0.903448275862069
2020-02-27,OK SISAK,OK RIBOLA KAŠTELA, 1-2,1,2,39,75,-12.0,OK MLADOST RIBOLA KAŠTELA,1,0.5747800586510264,0.0,5,241,1.5277777777777777,0.3333333333333333,3.25,3.0,2.0154411764705884,1.0217391304347827,2.0154411764705884,0.9787234042553191
2020-02-27,OK MEDICINAR TRNJE,HAOK MLADOST, 0-3,0,3,55,77,-7.333333333333333,HAOK MLADOST,1,0.3870967741935484,0.0,5,241,1.2619047619047619,0.3333333333333333,4.5,3.0,1.9642857142857142,0.8,1.9642857142857142,1.25
2020-02-29,OK ROVINJ,OKM CENTROMETAL, 1-2,1,2,45,75,-10.0,OKM CENTROMETAL,1,0.43010752688172044,0.3333333333333333,7,7,0.6226415094339622,0.2222222222222222,1.2537313432835822,4.5,0.8129442573887018,0.8301158301158301,0.8129442573887018,1.2046511627906977
2020-02-29,OK KITRO VARAŽDIN,OK SPLIT, 2-3,2,3,101,109,-1.6,OK SPLIT,1,0.7598684210526315,0.5,7,7,0.8695652173913043,1.8,1.1851851851851851,0.5555555555555556,1.0216876971608833,1.0863309352517985,1.0216876971608833,0.9205298013245033
